index,age,fnlwgt,employment,occupation,marital-status,relationship,education,race,sex,capital-gain,capital-loss,hours-per-work,native-country,class
0,0.03452082734799187,77516,0,0,4,1,1,4,1,2174,0,-0.07841123013603965,38,0
1,0.8670442345615743,83311,2,2,2,0,1,4,1,0,0,-2.3276281332817237,38,0
2,-0.041163118762333806,215646,1,4,0,1,3,4,1,0,0,-0.07841123013603965,38,0
3,1.0940960728925513,234721,1,4,2,0,5,2,1,0,0,-0.07841123013603965,38,0
4,-0.7980025798655905,338409,1,8,2,5,1,2,0,0,0,-0.07841123013603965,4,0
5,-0.11684706487265947,284582,1,2,2,5,4,4,0,0,0,-0.07841123013603965,38,0
6,0.7913602884512486,160187,1,6,3,1,5,2,0,0,0,-2.0777151440433146,22,0
7,1.0184121267822257,209642,2,2,2,0,3,4,1,0,0,0.3381104185946426,38,1
8,-0.5709507415346136,45781,1,8,4,1,4,4,0,14084,0,0.7546320673253248,38,1
9,0.26157266567896886,159449,1,2,2,0,1,4,1,5178,0,-0.07841123013603965,38,1
10,-0.11684706487265947,280464,1,2,2,0,3,2,1,0,0,3.2537619597094185,38,1
11,-0.6466346876449391,141297,0,8,2,0,1,1,1,0,0,-0.07841123013603965,18,1
12,-1.176422310417219,122272,1,0,4,3,1,4,0,0,0,-0.9114545275974041,38,0
13,-0.49526679542428786,205019,1,10,4,1,0,2,1,0,0,0.7546320673253248,38,0
14,-0.3438989032036365,245487,1,12,2,0,5,0,1,0,0,0.3381104185946426,25,0
15,-1.0250544181965675,176756,2,3,4,3,3,4,1,0,0,-0.4949328788667219,38,0
16,-0.49526679542428786,186824,1,5,4,4,3,4,1,0,0,-0.07841123013603965,38,0
17,-0.041163118762333806,28887,1,10,2,0,5,4,1,0,0,0.7546320673253248,38,0
18,0.33725661178929456,292175,2,2,0,4,4,4,0,0,0,0.3381104185946426,38,1
19,0.11020477345831754,193524,1,8,2,0,2,4,1,0,0,1.5876753647866892,38,1
20,1.1697800190028769,302146,1,6,5,4,3,2,0,0,0,-1.7444978250587686,38,0
21,-0.26821495709331084,76845,0,3,2,0,5,2,1,0,0,-0.07841123013603965,38,0
22,0.33725661178929456,117037,1,12,2,0,5,4,1,0,2042,-0.07841123013603965,38,0
23,1.5481997495545052,109015,1,11,0,4,3,4,0,0,0,-0.07841123013603965,38,0
24,1.3211479112235283,216851,0,11,2,0,1,4,1,0,0,-0.07841123013603965,38,1
25,-1.4791580948585217,168294,1,1,4,3,3,4,1,0,0,-0.07841123013603965,38,0
26,0.03452082734799187,367260,1,2,0,1,3,4,1,0,0,3.2537619597094185,38,0
27,0.7913602884512486,193366,1,1,2,0,3,4,1,0,0,-0.07841123013603965,38,0
28,-1.176422310417219,190709,0,9,4,1,0,4,1,0,0,0.9212407268175977,38,0
29,-1.4034741487481959,266015,1,10,4,3,3,2,1,0,0,0.25480608884850614,38,0
30,0.4886245040099459,386940,1,2,0,3,1,4,1,0,1408,-0.07841123013603965,38,0
31,-0.6466346876449391,59951,0,0,2,3,3,4,1,0,0,-0.07841123013603965,38,0
32,-1.2521062565275445,311512,0,6,2,0,3,2,1,0,0,-2.161019473789451,38,0
33,0.7156763423409229,242406,1,5,4,4,5,4,1,0,0,-0.07841123013603965,32,0
34,-1.3277902026378703,197200,1,5,4,3,3,4,1,0,0,-0.07841123013603965,38,0
35,-1.4791580948585217,544091,1,0,1,5,3,4,0,0,0,-1.3279761763280864,38,0
36,0.7156763423409229,265477,2,8,2,0,0,4,1,0,0,-0.07841123013603965,38,0
37,-0.5709507415346136,507875,1,5,2,0,5,4,1,0,0,0.1715017591023697,38,0
38,1.0940960728925513,88506,2,8,2,0,1,4,1,0,0,-0.07841123013603965,38,0
39,-1.1007383643068933,172987,1,11,2,0,1,4,1,0,0,0.7546320673253248,38,0
40,0.7913602884512486,94638,1,0,5,4,3,4,0,0,0,-0.07841123013603965,38,0
41,-1.0250544181965675,289980,1,4,4,1,3,4,1,0,0,-0.4949328788667219,38,0
42,1.396831857333854,337895,0,8,2,0,1,2,1,0,0,-0.07841123013603965,38,1
43,1.0940960728925513,144361,1,5,2,0,3,4,1,0,0,-0.24501988962831253,38,0
44,0.41294055789962025,128354,1,2,0,4,4,4,0,0,0,-0.07841123013603965,38,0
45,0.18588871956864322,101603,0,1,2,0,0,4,1,0,0,-0.07841123013603965,38,0
46,-0.7223186337552648,271466,1,8,4,1,0,4,1,0,0,0.1715017591023697,38,0
47,-1.0250544181965675,32275,1,2,2,5,3,3,0,0,0,-0.07841123013603965,38,0
48,0.6399923962305972,51835,1,8,2,5,2,4,0,0,1902,1.5876753647866892,15,1
49,0.8670442345615743,251585,0,2,0,1,1,4,1,0,0,1.171153716056007,38,1
50,0.6399923962305972,109832,2,2,0,1,3,4,1,0,0,1.5876753647866892,38,0
51,0.33725661178929456,237993,1,11,2,0,3,4,1,0,0,-0.07841123013603965,38,1
52,0.5643084501202715,216666,1,5,2,0,5,4,1,0,0,-0.07841123013603965,25,0
53,-0.26821495709331084,56352,1,6,2,0,0,4,1,0,0,-0.07841123013603965,32,0
54,0.18588871956864322,147372,1,0,2,0,3,4,1,0,0,0.588023407833052,38,0
55,-0.6466346876449391,188146,1,5,2,0,3,4,1,5013,0,-0.07841123013603965,38,0
56,-0.6466346876449391,59496,1,10,2,0,1,4,1,2407,0,-0.07841123013603965,38,0
57,0.7156763423409229,149640,1,12,2,0,3,4,1,0,0,-0.07841123013603965,38,0
58,0.26157266567896886,116632,1,8,2,0,2,4,1,0,0,0.3381104185946426,38,1
59,-0.7223186337552648,105598,1,11,0,1,3,4,1,0,0,1.4210667052944164,38,0
60,-0.19253101098298514,155537,1,1,2,0,3,4,1,0,0,-0.07841123013603965,38,0
61,-0.7980025798655905,183175,1,0,0,1,3,4,0,0,0,-0.07841123013603965,38,0
62,1.0940960728925513,169846,1,0,2,5,3,4,0,0,0,-0.07841123013603965,38,1
63,0.7913602884512486,191681,2,2,2,0,3,4,1,0,0,0.7546320673253248,38,1
64,-1.4791580948585217,101509,1,8,4,3,3,4,1,0,0,-0.7448458681051312,38,0
65,-0.5709507415346136,309974,1,10,5,3,1,2,0,0,0,-0.07841123013603965,38,0
66,-0.7223186337552648,162298,2,10,2,0,1,4,1,0,0,2.4207186622480537,38,1
